id,name,type,typecode,location_x,location_y,adname
B000AA420F,那家小馆(大兴店),餐饮服务;中餐厅;中餐厅,50100,116.344092,39.765335,大兴区
B0FFF4T3O0,小吊梨汤(新奥购物中心),餐饮服务;中餐厅;北京菜,50111,116.394273,39.999918,朝阳区
B000A849KF,九十九顶毡房(清河店),餐饮服务;中餐厅;特色/地方风味餐厅,50118,116.367904,40.040336,海淀区
B000A87EYN,京味斋(小西天店),餐饮服务;中餐厅;北京菜,50111,116.361727,39.95513,海淀区
B0FFFAAECJ,小吊梨汤(白石桥店),餐饮服务;中餐厅;北京菜,50111,116.321833,39.935002,海淀区
B000A8186O,满朋轩餐厅,餐饮服务;中餐厅;清真菜馆,50121,116.406967,39.871676,东城区
B000A81J67,那家小馆(建国门店),餐饮服务;中餐厅;中餐厅,50100,116.447177,39.907225,朝阳区
B000A81K31,全聚德(清华园店),餐饮服务;中餐厅;北京菜,50111,116.330347,39.994045,海淀区
B000A87HTT,四季民福(灯市口店),餐饮服务;中餐厅;北京菜,50111,116.408734,39.918353,东城区
B000A7YGZ8,素心小筑(后沙裕镇店),餐饮服务;中餐厅;中餐厅,50100,116.513645,40.102731,顺义区
B000A8WBS1,辣尚瘾(五道口店),餐饮服务;中餐厅;中餐厅,50100,116.32397,39.99209,海淀区
B0FFFQ7U49,TIAGO(颐堤港),餐饮服务;外国餐厅;意式菜品餐厅,50205,116.492001,39.970729,朝阳区
B0FFFW6XB4,吉乡三宝(密云店),餐饮服务;中餐厅;中餐厅,50100,116.820705,40.365976,密云区
B0FFFHBDYS,西贝莜面村,餐饮服务;中餐厅;西北菜,50115,116.29048,39.997849,海淀区
B000A7Q3QL,匹夫涮肉城(清源西路店),餐饮服务;中餐厅;火锅店,50117,116.321131,39.74398,大兴区
B000A8WY8N,汤城小厨(北京银泰中心in01),餐饮服务;中餐厅;广东菜(粤菜),50103,116.459625,39.9073,朝阳区
B000AA3S3F,来顺居老北京炸酱面(北清路店),餐饮服务;中餐厅;特色/地方风味餐厅,50118,116.243259,40.072316,海淀区
B000A80WKG,宏源南门涮肉(天坛店),餐饮服务;中餐厅;火锅店,50117,116.413541,39.873864,东城区
B0FFG9V1R9,四季民福烤鸭店(故宫店),餐饮服务;中餐厅;北京菜,50111,116.402895,39.914624,东城区
B000A87K1D,提香源海鲜酒楼(东方普罗旺斯店),餐饮服务;中餐厅;海鲜酒楼,50119,116.453088,40.119239,昌平区
B000A84GO6,紫光园(通州店),餐饮服务;中餐厅;清真菜馆,50121,116.677257,39.894903,通州区
B000A9ONPA,牛街满恒记,餐饮服务;中餐厅;火锅店,50117,116.367652,39.93208,西城区
B000A8WB65,四季民福烤鸭店(东四十条店),餐饮服务;中餐厅;特色/地方风味餐厅,50118,116.430142,39.933956,东城区
B000A9PFM6,将太无二(凯德MALL西直门店),餐饮服务;外国餐厅;日本料理,50202,116.352886,39.941714,西城区
B0FFFADJGL,柳沟豆腐宴64号院,餐饮服务;中餐厅;中餐厅,50100,116.101341,40.444371,延庆区
B000A87R2H,木屋烧烤(欢乐谷店),餐饮服务;中餐厅;特色/地方风味餐厅,50118,116.500957,39.872734,朝阳区
B000A7RYT5,海底捞火锅(望京店),餐饮服务;中餐厅;火锅店,50117,116.484396,39.989924,朝阳区
B000A84P7D,好伦哥(天坛东门店),餐饮服务;快餐厅;快餐厅,50300,116.420529,39.883034,东城区
B000A8VX4G,小吊梨汤(团结湖店),餐饮服务;中餐厅;中餐厅,50100,116.464016,39.929201,朝阳区
B000A87GBD,海底捞火锅(紫竹桥店),餐饮服务;中餐厅;火锅店,50117,116.305095,39.944709,海淀区
B000A87GUF,眉州东坡酒楼(中关村店),餐饮服务;中餐厅;四川菜(川菜),50102,116.316308,39.977682,海淀区
B000AAASUB,金百万烤鸭(良乡政通店),餐饮服务;中餐厅;中餐厅,50100,116.137129,39.746985,房山区
